	QMCDP007A3_pWPIonly_S1	QMCDP008AB_pWPIonly_S2	QMCDP009AJ_pWPIonly_S3	QMCDP010AM_pWPIHXB_S1	QMCDP011AU_pWPIHXB_S2	QMCDP012A4_pWPIHXB_S3
ENSG00000226128	4.56888965423731	4.55992160197688	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605
ENSG00000235777	4.24376224454605	4.24376224454605	4.24376224454605	4.60607142818804	4.56458541730026	4.24376224454605
ENSG00000270911	4.24376224454605	4.55992160197688	4.24376224454605	4.24376224454605	4.56458541730026	4.24376224454605
ENSG00000269998	4.56888965423731	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605
ENSG00000225206	4.56888965423731	4.24376224454605	4.24376224454605	4.24376224454605	4.56458541730026	4.55883198798707
ENSG00000162627	5.15031979824367	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605
ENSG00000117598	4.56888965423731	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605
ENSG00000232825	4.56888965423731	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605
ENSG00000227034	4.80455462399317	4.55992160197688	4.72080105047831	4.75481611102059	4.56458541730026	4.24376224454605
ENSG00000117600	4.70259919932567	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605
ENSG00000224445	4.56888965423731	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605
ENSG00000099260	4.56888965423731	4.55992160197688	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605
ENSG00000223656	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605	4.56458541730026	4.24376224454605
ENSG00000156869	7.78036078410552	8.05930332871352	7.31252925205086	8.31209322809888	8.54215329955921	8.29619655270804
ENSG00000162688	11.4731091322638	11.1665414831185	10.9233135488706	11.3790694882688	11.1769676914024	11.268630098899
ENSG00000228084	5.0934558374886	5.27250931827371	5.34098530938768	5.36413171198586	5.19110416476804	5.17461982057799
ENSG00000117620	10.2230032268792	9.90296617587189	9.76043901592181	10.0379645222193	9.79733798238014	9.92736758733461
ENSG00000212248	4.56888965423731	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605
ENSG00000261254	6.42441418884685	5.96050124849065	6.38842283720991	5.98787551259501	6.09572562853935	5.75254046380009
ENSG00000156875	11.0313284852301	11.0174735755992	11.1611611979755	11.0936484984518	10.9833947057993	10.9890994923838
ENSG00000241073	4.24376224454605	4.55992160197688	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605
ENSG00000156876	10.082177780079	10.0369986033963	9.96897201105961	9.93015548769676	10.0124140043989	10.15110133986
ENSG00000226952	4.56888965423731	4.78920833890626	4.5818442964285	4.60607142818804	4.24376224454605	4.78734308284281
ENSG00000122435	9.78462977248384	9.70866741183708	9.79820483612069	9.7745739714146	9.53532089207779	9.59119877251149
