	entrezgene	ensembl_gene_id	gene_name	filter	baseMean	log2FoldChange_condition_treat_day6_on_vs_day6_off	lfcSE_condition_treat_day6_on_vs_day6_off	stat_condition_treat_day6_on_vs_day6_off	pvalue_condition_treat_day6_on_vs_day6_off	padj_condition_treat_day6_on_vs_day6_off	filter1	external_gene_name	pathway_id
5573	19053	ENSMUSG00000009630	Ppp2cb	1	2048.24368235417	0.497560730199337	0.0796189631371483	6.24927417532754	4.12364487831185e-10	4.16633003545874e-09	DE	Ppp2cb	mmu05165
5574	19053	ENSMUSG00000009630	Ppp2cb	1	2048.24368235417	0.497560730199337	0.0796189631371483	6.24927417532754	4.12364487831185e-10	4.16633003545874e-09	DE	Ppp2cb	mmu04140
5575	19053	ENSMUSG00000009630	Ppp2cb	1	2048.24368235417	0.497560730199337	0.0796189631371483	6.24927417532754	4.12364487831185e-10	4.16633003545874e-09	DE	Ppp2cb	mmu05142
5576	19053	ENSMUSG00000009630	Ppp2cb	1	2048.24368235417	0.497560730199337	0.0796189631371483	6.24927417532754	4.12364487831185e-10	4.16633003545874e-09	DE	Ppp2cb	mmu05160
5577	19053	ENSMUSG00000009630	Ppp2cb	1	2048.24368235417	0.497560730199337	0.0796189631371483	6.24927417532754	4.12364487831185e-10	4.16633003545874e-09	DE	Ppp2cb	mmu04151
5578	19053	ENSMUSG00000009630	Ppp2cb	1	2048.24368235417	0.497560730199337	0.0796189631371483	6.24927417532754	4.12364487831185e-10	4.16633003545874e-09	DE	Ppp2cb	mmu04071
5579	19053	ENSMUSG00000009630	Ppp2cb	1	2048.24368235417	0.497560730199337	0.0796189631371483	6.24927417532754	4.12364487831185e-10	4.16633003545874e-09	DE	Ppp2cb	mmu04350
5580	19053	ENSMUSG00000009630	Ppp2cb	1	2048.24368235417	0.497560730199337	0.0796189631371483	6.24927417532754	4.12364487831185e-10	4.16633003545874e-09	DE	Ppp2cb	mmu04136
5581	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu05010
5582	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu04380
5583	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu04660
5584	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu04724
5585	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu04218
5586	19055	ENSMUSG00000028161	Ppp3ca	1	2845.54444267082	0.586345596707075	0.0735555022471431	7.97147159347756	1.56795937635632e-15	2.51263539862872e-14	DE	Ppp3ca	mmu05163
